word,length,attempts,mistakes
salmiac,7,11,6
commiserator,12,10,2
angled,6,9,4
mightily,8,13,8
unhallow,8,13,8
sympathetic,11,11,4
asperous,8,10,5
mythoplasm,10,13,6
heretification,14,8,1
handmaiden,10,11,6
telangiectasy,13,9,2
censual,7,11,5
timber,6,15,10
proant,6,10,5
calibration,11,10,2
organista,9,7,1
floater,7,10,4
-graphy,7,16,11
midnight sun,12,14,7
weedy,5,14,11
obstetrician,12,8,0
philhellenism,13,11,5
treasury stock,14,10,3
indolently,10,10,4
benefiter,9,10,5
chapareras,10,10,5
dellacruscan,12,11,4
clawback,8,15,11
sorbent,7,9,3
entermise,9,7,1
poppet,6,13,9
sturdily,8,12,6
nouvelle riche,14,9,3
pinetum,7,11,6
ursal,5,11,6
master,6,15,10
relesse,7,9,5
consistently,12,10,2
whap,4,16,13
zonule,6,12,7
sea colewort,12,10,3
passe partout,13,12,5
cytogenic,9,11,5
explosion,9,10,4
phrenetical,11,10,3
varier,6,16,12
apicular,8,11,6
autochthonal,12,10,4
comprehensively,15,11,2
bespirt,7,10,5
odontograph,11,12,6
oscillate,9,8,2
indiscreet,10,8,2
haphtarah,9,13,9
stillion,8,9,3
perradial,9,10,4
newsmonger,10,11,6
capsulary,9,12,6
woodpecker,10,12,6
reappearance,12,7,3
supervisal,10,12,5
curlew,6,17,12
plurisy,7,13,8
burrower,8,12,8
domesman,8,11,5
somnolent,9,10,4
zamite,6,14,9
grecian,7,10,4
renunciation,12,9,2
tubulariae,10,8,3
clasper,7,11,5
dispiteous,10,11,5
mamelon,7,10,5
persulphocyanate,16,11,1
roadster,8,9,4
bawdy,5,16,12
blowth,6,19,14
t connection,12,7,2
towline,7,9,3
cyclonoscope,12,11,4
stannary,8,9,4
malingery,9,12,5
tenthly,7,10,6
cragginess,10,12,5
sal,3,15,12
bittock,7,10,6
hectocotylized,14,10,4
gnathite,8,11,6
whalebone,9,14,9
forthy,6,13,8
reefer,6,7,5
reciprocous,11,11,5
gallicize,9,12,7
pusillanimity,13,11,4
isospondyli,11,10,5
bloodshedder,12,11,5
assuetude,9,10,6
bell jar,8,16,11
jaculate,8,12,6
photoscope,10,13,7
dawdle,6,14,10
pultaceous,10,12,4
abray,5,11,8
swingletree,11,9,2
zooid,5,14,11
autocratrix,11,8,2
epigraphy,9,14,8
quadruplication,15,11,2
anagnorisis,11,9,4
acidity,7,10,6
ironic,6,9,5
reconduct,9,12,6
sonties,7,8,3
insecurity,10,10,3
seeress,7,7,4
felanders,9,11,5
enseel,6,8,5
pains,5,13,9
appearance,10,9,5
fasten,6,11,6
quackle,7,15,10
multifarious,12,13,5
cudbear,7,11,6
skeleton,8,10,4
liane,5,8,3
vitriolize,10,10,4
bdellomorpha,12,12,5
catskill period,15,10,1
pellibranchiata,15,9,2
roughcaster,11,9,3
teleozoon,9,8,4
shearing,8,10,4
convene,7,11,7
shorl,5,10,6
